"Hour_Format_HHMMSS","Hour","Minute","Second","Hour_id"
"15:50:24",15,50,24,"155024"
"15:50:25",15,50,25,"155025"
"15:50:26",15,50,26,"155026"
"15:50:27",15,50,27,"155027"
"15:50:28",15,50,28,"155028"
"15:50:29",15,50,29,"155029"
"15:50:30",15,50,30,"155030"
"15:50:31",15,50,31,"155031"
"15:50:32",15,50,32,"155032"
"15:50:33",15,50,33,"155033"
"15:50:34",15,50,34,"155034"
"15:50:35",15,50,35,"155035"
"15:50:36",15,50,36,"155036"
"15:50:37",15,50,37,"155037"
"15:50:38",15,50,38,"155038"
"15:50:39",15,50,39,"155039"
"15:50:40",15,50,40,"155040"
"15:50:41",15,50,41,"155041"
"15:50:42",15,50,42,"155042"
"15:50:43",15,50,43,"155043"
"15:50:44",15,50,44,"155044"
"15:50:45",15,50,45,"155045"
"15:50:46",15,50,46,"155046"
"15:50:47",15,50,47,"155047"
"15:50:48",15,50,48,"155048"
"15:50:49",15,50,49,"155049"
"15:50:50",15,50,50,"155050"
"15:50:51",15,50,51,"155051"
"15:50:52",15,50,52,"155052"
"15:50:53",15,50,53,"155053"
"15:50:54",15,50,54,"155054"
"15:50:55",15,50,55,"155055"
"15:50:56",15,50,56,"155056"
"15:50:57",15,50,57,"155057"
"15:50:58",15,50,58,"155058"
"15:50:59",15,50,59,"155059"
"15:51",15,51,0,"155100"
"15:51:01",15,51,1,"155101"
"15:51:02",15,51,2,"155102"
"15:51:03",15,51,3,"155103"
"15:51:04",15,51,4,"155104"
"15:51:05",15,51,5,"155105"
"15:51:06",15,51,6,"155106"
"15:51:07",15,51,7,"155107"
"15:51:08",15,51,8,"155108"
"15:51:09",15,51,9,"155109"
"15:51:10",15,51,10,"155110"
"15:51:11",15,51,11,"155111"
"15:51:12",15,51,12,"155112"
"15:51:13",15,51,13,"155113"
"15:51:14",15,51,14,"155114"
"15:51:15",15,51,15,"155115"
"15:51:16",15,51,16,"155116"
"15:51:17",15,51,17,"155117"
"15:51:18",15,51,18,"155118"
"15:51:19",15,51,19,"155119"
"15:51:20",15,51,20,"155120"
"15:51:21",15,51,21,"155121"
"15:51:22",15,51,22,"155122"
"15:51:23",15,51,23,"155123"
"15:51:24",15,51,24,"155124"
"15:51:25",15,51,25,"155125"
"15:51:26",15,51,26,"155126"
"15:51:27",15,51,27,"155127"
"15:51:28",15,51,28,"155128"
"15:51:29",15,51,29,"155129"
"15:51:30",15,51,30,"155130"
"15:51:31",15,51,31,"155131"
"15:51:32",15,51,32,"155132"
"15:51:33",15,51,33,"155133"
"15:51:34",15,51,34,"155134"
"15:51:35",15,51,35,"155135"
"15:51:36",15,51,36,"155136"
"15:51:37",15,51,37,"155137"
"15:51:38",15,51,38,"155138"
"15:51:39",15,51,39,"155139"
"15:51:40",15,51,40,"155140"
"15:51:41",15,51,41,"155141"
"15:51:42",15,51,42,"155142"
"15:51:43",15,51,43,"155143"
"15:51:44",15,51,44,"155144"
"15:51:45",15,51,45,"155145"
