"OSHA_id","Payment_Date","Departament_id","OSHA_Type_id","numIncidentsLeadingToLostDays","numIncidentsLeadingToRestrictedDays"
209,"20190223",36,7,0,0
210,"20190223",36,22,1,1
211,"20190223",36,22,0,1
212,"20190223",36,23,0,1
213,"20190223",36,23,1,1
214,"20190223",36,17,0,1
215,"20190223",36,17,1,1
216,"20190223",36,8,1,1
217,"20190223",36,8,0,0
218,"20190223",36,8,0,1
219,"20190223",36,9,0,1
220,"20190223",36,9,1,1
221,"20190223",36,9,0,0
222,"20190209",36,1,0,1
223,"20190209",36,2,0,1
224,"20190209",36,5,1,1
225,"20190209",36,6,0,1
226,"20190209",36,6,1,1
227,"20190209",36,7,1,1
228,"20190209",36,7,0,1
229,"20190209",36,11,1,1
230,"20190209",36,34,0,1
231,"20190209",36,17,1,1
232,"20190209",36,17,0,1
233,"20190209",36,8,1,1
234,"20190209",36,8,0,1
235,"20190209",36,9,0,1
236,"20190209",36,9,1,1
237,"20190126",36,27,0,1
238,"20190126",36,20,1,1
239,"20190126",36,21,0,1
240,"20190126",36,5,1,1
241,"20190126",36,5,0,0
242,"20190126",36,5,0,1
243,"20190126",36,34,1,1
244,"20190126",36,34,0,1
245,"20190126",36,35,1,1
246,"20190126",36,17,0,1
247,"20190126",36,8,1,1
248,"20190126",36,8,0,1
249,"20190126",36,9,0,1
250,"20190126",36,9,1,1
251,"20190126",36,36,0,1
252,"20190126",36,36,1,1
253,"20190126",36,37,0,1
254,"20190126",36,37,1,1
255,"20190112",36,5,0,1
256,"20190112",36,5,1,1
257,"20190112",36,38,1,1
258,"20190112",36,39,1,1
259,"20190112",36,6,0,0
260,"20190112",36,6,0,1
261,"20190112",36,7,0,1
262,"20190112",36,7,0,0
263,"20190112",36,40,1,1
264,"20190112",36,34,1,1
265,"20190112",36,32,1,1
266,"20190112",36,33,1,1
267,"20190112",36,17,0,1
268,"20190112",36,17,1,1
269,"20190112",36,8,1,1
270,"20190112",36,8,0,0
271,"20190112",36,8,0,1
272,"20190112",36,9,1,1
273,"20190112",36,9,0,1
274,"20190112",36,9,0,0
